0,0.00
1,13918.67
2,10408.47
3,9536.96
4,7446.26
5,13832.28
6,8436.49
7,8768.34
8,9821.93
9,12690.66
10,9781.61
11,7169.17
12,12264.00
13,14576.94
14,8469.34
15,9781.06
16,7874.84
17,14873.65
18,6765.35
19,10800.20
20,10487.93
21,13247.50
22,7958.34
23,9848.21
24,15526.26
25,9619.49
26,7306.44
27,9005.14
28,13352.87
29,9615.57
30,10958.23
31,8406.76
32,13888.18
33,11680.09
34,12512.54
35,8435.52
36,16237.45
37,8880.95
38,7099.33
39,10934.02
40,9489.39
41,11389.57
42,10010.80
43,7485.35
44,17107.78
45,7438.00
46,12074.46
47,9429.58
48,15690.27
49,9325.48
50,9929.47
51,7926.46
52,12200.41
53,8344.21
54,9480.78
55,6425.73
56,16548.60
57,9859.71
58,8174.73
59,11805.52
60,14197.62
